都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,種別,住所,方書,lat,lng,title,状況
262013,,京都府,福知山市,防火水槽,,,35.37045411,135.1363479,河東防火水槽8,埋設
262013,,京都府,福知山市,防火水槽,,,35.37121174,135.1347115,河東防火水槽9,埋設
262013,,京都府,福知山市,防火水槽,,,35.34429682,135.1528939,河東防火水槽10,埋設
262013,,京都府,福知山市,防火水槽,,,35.37641708,135.1444095,河東防火水槽11,埋設
262013,,京都府,福知山市,防火水槽,,,35.36337947,135.1638978,河東防火水槽12,埋設
262013,,京都府,福知山市,防火水槽,,,35.37957757,135.1445932,河東防火水槽17,埋設
262013,,京都府,福知山市,防火水槽,,,35.37979476,135.1483365,河東防火水槽19,埋設
262013,,京都府,福知山市,防火水槽,,,35.37984149,135.1505354,河東防火水槽21,埋設
262013,,京都府,福知山市,防火水槽,,,35.36505772,135.1316008,河東防火水槽27,埋設
262013,,京都府,福知山市,防火水槽,,,35.34502454,135.1534349,河東防火水槽28,埋設
262013,,京都府,福知山市,防火水槽,,,35.37111432,135.159269,河東防火水槽29,埋設
262013,,京都府,福知山市,防火水槽,,,35.36862715,135.1313537,河東防火水槽30,埋設
262013,,京都府,福知山市,防火水槽,,,35.36904795,135.1604478,河東防火水槽31,埋設
262013,,京都府,福知山市,防火水槽,,,35.37345775,135.1543963,河東防火水槽32,埋設
262013,,京都府,福知山市,防火水槽,,,35.35494392,135.163551,河東防火水槽33,埋設
262013,,京都府,福知山市,防火水槽,,,35.36381963,135.1760389,河東防火水槽34,埋設
262013,,京都府,福知山市,防火水槽,,,35.3631479,135.1202473,河東防火水槽35,埋設
262013,,京都府,福知山市,防火水槽,,,35.36574246,135.168028,河東防火水槽36,埋設
262013,,京都府,福知山市,防火水槽,,,35.3645031,135.1212057,河東防火水槽37,埋設
262013,,京都府,福知山市,防火水槽,,,35.36904998,135.1328655,河東防火水槽6,無蓋
262013,,京都府,福知山市,防火水槽,,,35.36877286,135.1363321,河東防火水槽7,無蓋
262013,,京都府,福知山市,防火水槽,,,35.37475212,135.146097,河東防火水槽13,無蓋
262013,,京都府,福知山市,防火水槽,,,35.3745857,135.150266,河東防火水槽14,無蓋
262013,,京都府,福知山市,防火水槽,,,35.37289938,135.1572873,河東防火水槽15,無蓋
262013,,京都府,福知山市,防火水槽,,,35.37875384,135.1437544,河東防火水槽16,無蓋
262013,,京都府,福知山市,防火水槽,,,35.37952865,135.1537636,河東防火水槽22,無蓋
262013,,京都府,福知山市,防火水槽,,,35.37978194,135.1559627,河東防火水槽23,埋設
262013,,京都府,福知山市,防火水槽,,,35.37892254,135.1573914,河東防火水槽24,埋設
262013,,京都府,福知山市,防火水槽,,,35.37506153,135.14253,河東防火水槽25,無蓋
262013,,京都府,福知山市,防火水槽,,,35.36809478,135.1615193,河東防火水槽26,無蓋
262013,,京都府,福知山市,防火水槽,,,35.37584194,135.0975525,金山防火水槽1,埋設
262013,,京都府,福知山市,防火水槽,,,35.39534617,135.0905219,金山防火水槽6,埋設
262013,,京都府,福知山市,防火水槽,,,35.39612721,135.091172,金山防火水槽7,埋設
262013,,京都府,福知山市,防火水槽,,,35.4009511,135.077907,金山防火水槽9,埋設
262013,,京都府,福知山市,防火水槽,,,35.39390531,135.0740623,金山防火水槽10,埋設
262013,,京都府,福知山市,防火水槽,,,35.40834696,135.0840373,金山防火水槽13,埋設
262013,,京都府,福知山市,防火水槽,,,35.41454433,135.0866941,金山防火水槽14,埋設
262013,,京都府,福知山市,防火水槽,,,35.41948246,135.0886684,金山防火水槽15,埋設
262013,,京都府,福知山市,防火水槽,,,35.37368854,135.0998731,金山防火水槽16,埋設
262013,,京都府,福知山市,防火水槽,,,35.40287046,135.0791313,金山防火水槽18,埋設
262013,,京都府,福知山市,防火水槽,,,35.37819855,135.0970692,金山防火水槽3,無蓋
262013,,京都府,福知山市,防火水槽,,,35.37914722,135.0966486,金山防火水槽4,無蓋
262013,,京都府,福知山市,防火水槽,,,35.40247788,135.0803402,金山防火水槽8,無蓋
262013,,京都府,福知山市,防火水槽,,,35.3907611,135.0704542,金山防火水槽11,無蓋
262013,,京都府,福知山市,防火水槽,,,35.32724929,135.0439298,金谷防火水槽17,埋設
262013,,京都府,福知山市,防火水槽,,,35.32292757,135.0305452,金谷防火水槽7,埋設
262013,,京都府,福知山市,防火水槽,,,35.32412907,135.0278349,金谷防火水槽8,埋設
262013,,京都府,福知山市,防火水槽,,,35.32176262,135.0244528,金谷防火水槽12,埋設
262013,,京都府,福知山市,防火水槽,,,35.31564908,135.0370086,金谷防火水槽15,埋設
262013,,京都府,福知山市,防火水槽,,,35.32835717,135.0394655,金谷防火水槽16,埋設
262013,,京都府,福知山市,防火水槽,,,35.32397121,135.0462349,金谷防火水槽18,埋設
262013,,京都府,福知山市,防火水槽,,,35.3254376,135.0436862,金谷防火水槽19,埋設
262013,,京都府,福知山市,防火水槽,,,35.32456078,135.0473409,金谷防火水槽20,無蓋
262013,,京都府,福知山市,防火水槽,,,35.32580949,135.0333306,金谷防火水槽22,埋設
262013,,京都府,福知山市,防火水槽,,,35.33289045,135.0339472,金谷防火水槽23,埋設
262013,,京都府,福知山市,防火水槽,,,35.32891844,135.0401074,金谷防火水槽24,埋設
262013,,京都府,福知山市,防火水槽,,,35.32257204,135.0504803,金谷防火水槽25,埋設
262013,,京都府,福知山市,防火水槽,,,35.32526886,135.045078,金谷防火水槽27,埋設
262013,,京都府,福知山市,防火水槽,,,35.33102113,135.0473814,金谷防火水槽28,埋設
262013,,京都府,福知山市,防火水槽,,,35.33724259,135.0423742,金谷防火水槽1,無蓋
262013,,京都府,福知山市,防火水槽,,,35.34122966,135.0406315,金谷防火水槽2,無蓋
262013,,京都府,福知山市,防火水槽,,,35.34087763,135.0372148,金谷防火水槽4,無蓋
262013,,京都府,福知山市,防火水槽,,,35.33771265,135.0268197,金谷防火水槽6,無蓋
